date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:27:01	86698/86698	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:02%20GMT	https://www.ihateironing.com/south-london-dry-cleaning/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/south-london-dry-cleaning/index.html	(from https://www.ihateironing.com/)
18:27:01	3873/3873	---M--	200	added ('OK')	application/javascript	etag:%229b1c30a9f0d805611b00fe77826bbec9%22	https://s3.eu-west-2.amazonaws.com/production.storage.ihateironing.com/static/orders/js/order-home.js	C:/My%20Web%20Sites/ihateironing/s3.eu-west-2.amazonaws.com/production.storage.ihateironing.com/static/orders/js/order-home.10.delayed	(from https://www.ihateironing.com/)
18:27:01	93119/93119	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:02%20GMT	https://www.ihateironing.com/south-east-london-dry-cleaning/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/south-east-london-dry-cleaning/index.html	(from https://www.ihateironing.com/)
18:27:01	86948/86948	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:02%20GMT	https://www.ihateironing.com/south-west-london-dry-cleaning/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/south-west-london-dry-cleaning/index.html	(from https://www.ihateironing.com/)
18:27:01	90741/90741	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:02%20GMT	https://www.ihateironing.com/dry-cleaners-clapham/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/dry-cleaners-clapham/index.html	(from https://www.ihateironing.com/)
18:27:01	82388/82388	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:03%20GMT	https://www.ihateironing.com/dry-cleaners-seven-sisters/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/dry-cleaners-seven-sisters/index.html	(from https://www.ihateironing.com/)
18:27:02	91295/91295	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:03%20GMT	https://www.ihateironing.com/dry-cleaning-uptown-manhattan/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/dry-cleaning-uptown-manhattan/index.html	(from https://www.ihateironing.com/)
18:27:02	89304/89304	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:03%20GMT	https://www.ihateironing.com/dry-cleaners-abingdon/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/dry-cleaners-abingdon/index.html	(from https://www.ihateironing.com/)
18:27:02	11776/11776	---M--	200	added ('OK')	application/javascript	etag:%22a4b580e5f6599aed3c62ffa1c146f63b%22	https://s3.eu-west-2.amazonaws.com/production.storage.ihateironing.com/static/vendor/jquery/dist/jquery.matchHeight.js	C:/My%20Web%20Sites/ihateironing/s3.eu-west-2.amazonaws.com/production.storage.ihateironing.com/static/vendor/jquery/dist/jquery.matchHeight.11.delayed	(from https://www.ihateironing.com/)
18:27:02	90119/90119	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:03%20GMT	https://www.ihateironing.com/dry-cleaning-leyton-e10/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/dry-cleaning-leyton-e10/index.html	(from https://www.ihateironing.com/)
18:27:02	83737/83737	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:04%20GMT	https://www.ihateironing.com/dry-cleaners-gerrards-cross/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/dry-cleaners-gerrards-cross/index.html	(from https://www.ihateironing.com/)
18:27:03	90857/90857	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:04%20GMT	https://www.ihateironing.com/dry-cleaners-twickenham/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/dry-cleaners-twickenham/index.html	(from https://www.ihateironing.com/)
18:27:03	89541/89541	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:04%20GMT	https://www.ihateironing.com/laundry-service-near-me/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/laundry-service-near-me/index.html	(from https://www.ihateironing.com/)
18:27:03	578/578	---M--	200	added ('OK')	application/javascript	etag:%2247e030cdc3a91566551953f3e2c0fdb4%22	https://s3.eu-west-2.amazonaws.com/production.storage.ihateironing.com/static/local_pages/js/local-services.js	C:/My%20Web%20Sites/ihateironing/s3.eu-west-2.amazonaws.com/production.storage.ihateironing.com/static/local_pages/js/local-services.js	(from https://www.ihateironing.com/)
18:27:03	89150/89150	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:05%20GMT	https://www.ihateironing.com/north-west-london-dry-cleaning/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/north-west-london-dry-cleaning/index.html	(from https://www.ihateironing.com/)
18:27:03	90130/90130	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:05%20GMT	https://www.ihateironing.com/hertfordshire-dry-cleaning/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/hertfordshire-dry-cleaning/index.html	(from https://www.ihateironing.com/)
18:27:04	93991/93991	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:05%20GMT	https://www.ihateironing.com/harrow-dry-cleaning/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/harrow-dry-cleaning/index.html	(from https://www.ihateironing.com/)
18:27:05	96764/96764	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:06%20GMT	https://www.ihateironing.com/balham-dry-cleaners/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/balham-dry-cleaners/index.html	(from https://www.ihateironing.com/)
18:27:05	91985/91985	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:06%20GMT	https://www.ihateironing.com/dry-cleaners-belmont-sm2/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/dry-cleaners-belmont-sm2/index.html	(from https://www.ihateironing.com/)
18:27:06	95725/95725	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:06%20GMT	https://www.ihateironing.com/dry-cleaners-wimbledon/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/dry-cleaners-wimbledon/index.html	(from https://www.ihateironing.com/)
18:27:06	89103/89103	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:07%20GMT	https://www.ihateironing.com/dry-cleaners-bracknell/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/dry-cleaners-bracknell/index.html	(from https://www.ihateironing.com/)
18:27:07	90655/90655	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:07%20GMT	https://www.ihateironing.com/dry-cleaning-upper-west-side/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/dry-cleaning-upper-west-side/index.html	(from https://www.ihateironing.com/)
18:27:07	85365/85365	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:07%20GMT	https://www.ihateironing.com/dry-cleaners-brompton/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/dry-cleaners-brompton/index.html	(from https://www.ihateironing.com/)
18:27:07	300935/300935	---M--	200	added ('OK')	text/css	etag:%2205cf35b4a9a2a43c208df4096d11fbe6%22	https://s3.eu-west-2.amazonaws.com/production.storage.ihateironing.com/static/css/styles.css	C:/My%20Web%20Sites/ihateironing/s3.eu-west-2.amazonaws.com/production.storage.ihateironing.com/static/css/styles.css	(from https://www.ihateironing.com/)
18:27:07	89214/89214	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:27:08%20GMT	https://www.ihateironing.com/essex-dry-cleaning/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/essex-dry-cleaning/index.html	(from https://www.ihateironing.com/)
18:27:07	13483/13483	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Mar%202022%2013:27:08%20GMT	https://www.ihateironing.com/xhr.js	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/xhr.js	(from https://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js)
